SN,जिल्ला,पालिका,विजयी,विजयी-दल,मत,दोस्रो,दोस्रो-दल,मत2,मतान्तर,Conc1,Conc2
1,झापा,कमल गाउँपालिका,मेनुका काफ्ले,नेकपा एमाले,"8,275",हुकुमसिंह राई,नेपाली काँग्रेस,"8,275",0,नेकपा एमाले : मेनुका काफ्ले (8275),नेपाली काँग्रेस : हुकुमसिंह राई (8275)
2,अछाम,चौरपाटी गाउँपालिका,हर्क बहादुर साउँद,नेकपा एमाले,"3,138",भिम बहादुर साउंद,नेपाली काँग्रेस,"3,137",1,नेकपा एमाले : हर्क बहादुर साउँद (3138),नेपाली काँग्रेस : भिम बहादुर साउंद (3137)
3,डोल्पा,मुड्केचुला गाउँपालिका,दत्त बहादुर शाही,माओवादी केन्द्र,933,लंक बहादुर रोकाया,नेकपा एमाले,931,2,माओवादी केन्द्र : दत्त बहादुर शाही (933),नेकपा एमाले : लंक बहादुर रोकाया (931)
4,ओखलढुंगा,चिशंखुगढी गाउँपालिका,निशान्त शर्मा बास्तोला,माओवादी केन्द्र,"1,906",भिम बहादुर थापा मगर,नेकपा एमाले,"1,903",3,माओवादी केन्द्र : निशान्त शर्मा बास्तोला (1906),नेकपा एमाले : भिम बहादुर थापा मगर (1903)
5,जुम्ला,हिमा गाउँपालिका,रज बहादुर शाही,माओवादी केन्द्र,"1,317",भै बहादुर रोकाया,नेकपा एमाले,"1,314",3,माओवादी केन्द्र : रज बहादुर शाही (1317),नेकपा एमाले : भै बहादुर रोकाया (1314)
6,सिराहा,औरही गाउँपालिका,सिद्धार्थ यादव,माओवादी केन्द्र,"2,658",शिबजी यादव,संघीय फोरम,"2,652",6,माओवादी केन्द्र : सिद्धार्थ यादव (2658),"संघीय समाजवादी फोरम, नेपाल : शिबजी यादव (2652)"
7,भोजपुर,रामप्रसाद राई गाउँपालिका,विजय राई,नेकपा एमाले,"2,356",थाम बहादुर राई,माओवादी केन्द्र,"2,348",8,नेकपा एमाले : विजय राई (2356),माओवादी केन्द्र : थाम बहादुर राई (2348)
8,पर्सा,बिन्दबासिनी गाउँपालिका,श्रीलाल साह कानु,संघीय फोरम,"2,611",चन्द्र किशोर प्रसाद वरै,नेपाली काँग्रेस,"2,603",8,"संघीय समाजवादी फोरम, नेपाल : श्रीलाल साह कानु (2611)",नेपाली काँग्रेस : चन्द्र किशोर प्रसाद वरै (2603)
9,प्यूठान,माण्डवी गाउँपालिका,श्रीधर रोका,नेकपा एमाले,"1,753",नम राज अधिकारी,माओवादी केन्द्र,"1,741",12,नेकपा एमाले : श्रीधर रोका (1753),माओवादी केन्द्र : नम राज अधिकारी (1741)
10,ताप्लेजुंग,आठराई त्रिवेणी गाउँपालिका,विश्‍व नाथ सिटौला,नेपाली काँग्रेस,"2,227",लक्ष्मी बहादुर यक्सो,नेकपा एमाले,"2,214",13,नेपाली काँग्रेस : विश्‍व नाथ सिटौला (2227),नेकपा एमाले : लक्ष्मी बहादुर यक्सो (2214)
11,सप्तरी,राजविराज नगरपालिका,शम्‍भु प्रसाद यादव,राष्ट्रिय जनता पार्टी,"4,774",भिमराज यादव,संघीय फोरम,"4,759",15,राष्ट्रिय जनता पार्टी नेपाल : शम्‍भु प्रसाद यादव (4774),"संघीय समाजवादी फोरम, नेपाल : भिमराज यादव (4759)"
12,प्यूठान,ऐरावती गाउँपालिका,नवील विक्रम शाह,नेपाली काँग्रेस,"2,490",टिका बहादुर गुरुङ,नेकपा एमाले,"2,474",16,नेपाली काँग्रेस : नवील विक्रम शाह (2490),नेकपा एमाले : टिका बहादुर गुरुङ (2474)
13,मुस्तांग,बाह्गाउँ मुक्तिक्षेत्र गाउँपालिका,फेन्चोक छेप्तेन गुरुङ,नेपाली काँग्रेस,654,रमेश गुरुङ,नेकपा एमाले,638,16,नेपाली काँग्रेस : फेन्चोक छेप्तेन गुरुङ (654),नेकपा एमाले : रमेश गुरुङ (638)
14,डोल्पा,त्रिपुरासुन्दरी नगरपालिका,ओम बहादुर बुढा,नेकपा एमाले,"1,609",दिल बहादुर बिस्ट,नेपाली काँग्रेस,"1,591",18,नेकपा एमाले : ओम बहादुर बुढा (1609),नेपाली काँग्रेस : दिल बहादुर बिस्ट (1591)
15,जाजरकोट,बारेकोट गाउँपालिका,महेन्द्र बहादुर शाह,नेपाली काँग्रेस,"2,148",तिलक बहादुर रावत,माओवादी केन्द्र,"2,129",19,नेपाली काँग्रेस : महेन्द्र बहादुर शाह (2148),माओवादी केन्द्र : तिलक बहादुर रावत (2129)
16,सिन्धुली,तिनपाटन गाउँपालिका,कर्ण बहादुर मगर,नेपाली काँग्रेस,"5,701",छत्र बहादुर दाहाल,नेकपा एमाले,"5,682",19,नेपाली काँग्रेस : कर्ण बहादुर मगर (5701),नेकपा एमाले : छत्र बहादुर दाहाल (5682)
17,बारा,सिम्रौनगढ नगरपालिका,विजय शंकर यादव,नेपाली काँग्रेस,"5,135",किसोरी प्रसाद कलवार,राष्ट्रिय जनता पार्टी,"5,115",20,नेपाली काँग्रेस : विजय शंकर यादव (5135),राष्ट्रिय जनता पार्टी नेपाल : किसोरी प्रसाद कलवार (5115)
18,सोलुखुम्बु,खुम्वु पासाङल्हमु गाउँपालिका,ङिम दोर्जी शेर्पा,नेकपा एमाले,"1,424",चुङब सेर्पा,नेपाली काँग्रेस,"1,402",22,नेकपा एमाले : ङिम दोर्जी शेर्पा (1424),नेपाली काँग्रेस : चुङब सेर्पा (1402)
19,उदयपुर,ताप्ली गाउँपालिका,उद्धव सिंह थापा,नेकपा एमाले,"1,291",पदम बहादुर तामाङ्ग,स्वतन्त्र,"1,268",23,नेकपा एमाले : उद्धव सिंह थापा (1291),स्वतन्त्र : पदम बहादुर तामाङ्ग (1268)
20,जुम्ला,तिला गाउँपालिका,रतन नाथ योगी,नेकपा एमाले,"1,768",जंग बहादुर बस्नेत,माओवादी केन्द्र,"1,744",24,नेकपा एमाले : रतन नाथ योगी (1768),माओवादी केन्द्र : जंग बहादुर बस्नेत (1744)
21,धादिङ्ग,ज्वालामूखी गाउँपालिका,विनोद राज तिमल्‍सेना,नेपाली काँग्रेस,"5,954",राम प्रसाद अधिकारी,नेकपा एमाले,"5,930",24,नेपाली काँग्रेस : विनोद राज तिमल्‍सेना (5954),नेकपा एमाले : राम प्रसाद अधिकारी (5930)
22,ताप्लेजुंग,मिक्वाखोला गाउँपालिका,राम कुमार सावा,नेकपा एमाले,"1,484",भक्त बहादुर कार्की,नेपाली काँग्रेस,"1,459",25,नेकपा एमाले : राम कुमार सावा (1484),नेपाली काँग्रेस : भक्त बहादुर कार्की (1459)
23,डोल्पा,छार्का ताङसोङ गाउँपालिका,सेनाङ गुरुङ,स्वतन्त्र,307,धोटा गुरुङ,नेकपा एमाले,282,25,स्वतन्त्र : सेनाङ गुरुङ (307),नेकपा एमाले : धोटा गुरुङ (282)
24,ओखलढुंगा,मोलुङ गाउँपालिका,मणि राज राई,नेकपा एमाले,"3,012",महेन्द्र बहादुर कार्की,नेपाली काँग्रेस,"2,986",26,नेकपा एमाले : मणि राज राई (3012),नेपाली काँग्रेस : महेन्द्र बहादुर कार्की (2986)
25,सोलुखुम्बु,महाकुलुङ गाउँपालिका,सागर किराती (नाछिरीङ),माओवादी केन्द्र,"1,410",भला काजी राई(कुलुङ),नेपाली काँग्रेस,"1,383",27,माओवादी केन्द्र : सागर किराती (नाछिरीङ) (1410),नेपाली काँग्रेस : भला काजी राई(कुलुङ) (1383)
26,मुगु,सोरु गाउँपालिका,लोक बहादुर शाही,नेपाली काँग्रेस,"1,854",धर्म बहादुर शाही,नेकपा एमाले,"1,821",33,नेपाली काँग्रेस : लोक बहादुर शाही (1854),नेकपा एमाले : धर्म बहादुर शाही (1821)
27,खोटाङ्ग,साकेला गाउँपालिका,अर्जुन कुमार खड्का,माओवादी केन्द्र,"1,020",ईच्छु राम राना,नेपाली काँग्रेस,985,35,माओवादी केन्द्र : अर्जुन कुमार खड्का (1020),नेपाली काँग्रेस : ईच्छु राम राना (985)
28,भोजपुर,भोजपुर नगरपालिका,कैलाश कुमार आले,नेपाली काँग्रेस,"4,070",गणेश कुमार श्रेष्ठ,नेकपा एमाले,"4,034",36,नेपाली काँग्रेस : कैलाश कुमार आले (4070),नेकपा एमाले : गणेश कुमार श्रेष्ठ (4034)
29,मुस्तांग,घरपझोङ गाउँपालिका,आस बहादुर थकाली,नेकपा एमाले,454,बीजय हीराचन,नेपाली काँग्रेस,417,37,नेकपा एमाले : आस बहादुर थकाली (454),नेपाली काँग्रेस : बीजय हीराचन (417)
30,बाजुरा,बडीमालिका नगरपालिका,पदम बडुवाल,नेपाली काँग्रेस,"2,940",गगन वहादुर रावल,नेकपा एमाले,"2,902",38,नेपाली काँग्रेस : पदम बडुवाल (2940),नेकपा एमाले : गगन वहादुर रावल (2902)
31,बैतडी,शिवनाथ गाउँपालिका,कर्ण सिंह साउद,नेपाली काँग्रेस,"2,352",भरत सिंह मडै,नेकपा एमाले,"2,314",38,नेपाली काँग्रेस : कर्ण सिंह साउद (2352),नेकपा एमाले : भरत सिंह मडै (2314)
